"NUTS3","funding_by_region","population","funding_per_capita_germany_aaw","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE232",50652915.5,145465,348.213766198055,83406,5.85281656187153,11.3314755282051,"DE2"
"DE233",7372117.63,42055,175.297054571395,52941,5.16648198956923,10.8769333649113,"DE2"
"DE234",17764471.03,103568,171.524708693805,25878,5.14472733024469,10.1611484658759,"DE2"
"DE235",45702570.77,126359,361.6882910596,34322,5.89078276646725,10.4435418269622,"DE2"
"DE236",7624268.77,130385,58.475045212256,37847,4.06860008565944,10.5413069954866,"DE2"
"DE237",14553995.32,95078,153.074268705694,29704,5.03092321999311,10.2990369958569,"DE2"
"DE238",3531728.73,189390,18.6479155710439,24353,2.92573437421591,10.1004103242073,"DE2"
"DE239",28479078.63,144864,196.591828404573,34254,5.28112964227432,10.4415586251923,"DE2"
"DE23A",19217591.19,73314,262.127167935183,33166,5.56882975980375,10.409280533774,"DE2"
"DE241",13365973.81,73331,182.269078697959,60347,5.20548404962352,11.0078665152652,"DE2"
"DE242",50370813.04,72148,698.159519875811,62727,6.54844761515545,11.0465472559395,"DE2"
"DE243",16069279.07,41257,389.49218484136,91888,5.96484380051736,11.4283257231041,"DE2"
"DE244",16482899.77,44660,369.075229959695,41998,5.91100049849032,10.6453772770841,"DE2"
"DE245",3274494.47,145570,22.4942946348836,25121,3.11326170527266,10.131459428707,"DE2"
"DE246",10600925.26,104306,101.63293827776,20639,4.62136767825157,9.93493776880937,"DE2"
"DE247",20628346,86599,238.205360339034,25918,5.47313316019039,10.1626929869954,"DE2"
"DE248",13834163.3,114834,120.470969399307,26177,4.79140880605727,10.1726364416067,"DE2"
"DE249",10758910.47,96429,111.57339047382,33378,4.71468258490217,10.4156522793033,"DE2"
"DE24A",19069315.58,67916,280.77795482655,31000,5.63756416061725,10.3417424834673,"DE2"
"DE24B",61825709.87,72468,853.144972539604,33336,6.74892948913472,10.4143931731023,"DE2"
"DE24C",24604180.42,66655,369.127303578126,33747,5.91114158068972,10.4266468034609,"DE2"
"DE24D",32607915.47,73185,445.554628270821,32237,6.09931986177455,10.3808701401818,"DE2"
"DE251",8255184.7,41159,200.568155202993,56426,5.30115411518427,10.9406853241694,"DE2"
"DE252",13594820.23,108336,125.487559352385,88127,4.83220662499201,11.3865342348925,"DE2"
"DE253",26326474.64,124171,212.017899831684,34283,5.35667070427605,10.4424048834683,"DE2"
"DE254",50137836.45,509975,98.3143025638512,57117,4.58816951569276,10.9528570746258,"DE2"
"DE255",1451211.71,40428,35.8962033738993,32168,3.58063153430002,10.3787274485771,"DE2"
