"NUTS3_Code","Region"
"DE111|CH031|DE122|DE134|DE131|FRF11|FRF12","Stuttgart|Basel-Stadt|Karlsruhe|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin"
"DE111|CH031|DE13A|DE139","Stuttgart|Basel-Stadt|Waldshut|Lörrach"
"DE111|CH032|CH031|CH021|DE126|DE122|DE134|DE131|DE121|FRF11|FRF31|DEB35","Stuttgart|Basel-Landschaft|Basel-Stadt|canton of Bern|Mannheim|Karlsruhe|Ortenau|Freiburg im Breisgau|Baden-Baden|Bas-Rhin|Meurthe-et-Moselle|Mainz"
"DE111|CH032|CH031|CH023|CH013|DEB32|DE136|DE131|FRF11|DEB35|CH025","Stuttgart|Basel-Landschaft|Basel-Stadt|Canton of Solothurn|Canton of Geneva|Kaiserslautern|Schwarzwald-Baar district|Freiburg im Breisgau|Bas-Rhin|Mainz|Canton of Jura"
"DE111|CH032|CH031|DEB36|DE122|DE13A|DE131|FRF11|FRF12|LU000|DEB35|CH025|CH024","Stuttgart|Basel-Landschaft|Basel-Stadt|Neustadt an der Weinstraße|Karlsruhe|Waldshut|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Luxembourg|Mainz|Canton of Jura|Canton of Neuchâtel"
"DE111|CH032|DE133|DE131|FRF11|DEB35","Stuttgart|Basel-Landschaft|Emmendingen|Freiburg im Breisgau|Bas-Rhin|Mainz"
"DE111|CH033|CH031|CH021|DE139|FRF12","Stuttgart|Canton Aargau|Basel-Stadt|canton of Bern|Lörrach|Haut-Rhin"
"DE111|CH033|CH031|CH023|DE134|DE131|FRF11|FRF12|DEB35|CH025","Stuttgart|Canton Aargau|Basel-Stadt|Canton of Solothurn|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Mainz|Canton of Jura"
"DE111|CH033|CH031|DE122|DE134|FRF31|DEB35","Stuttgart|Canton Aargau|Basel-Stadt|Karlsruhe|Ortenau|Meurthe-et-Moselle|Mainz"
"DE111|CH033|CH031|DEB38|DE122|DE136|DE134|FRF11|DEB35","Stuttgart|Canton Aargau|Basel-Stadt|Speyer|Karlsruhe|Schwarzwald-Baar district|Ortenau|Bas-Rhin|Mainz"
"DE111|CH033|CH031|FR105|DEB35","Stuttgart|Canton Aargau|Basel-Stadt|Hauts-de-Seine|Mainz"
"DE111|CH033|CH032|CH031|CH021|DEB32|DE122|DE139|DE136|DE134|DE131|FRF11|FRF12|CH025|CH024","Stuttgart|Canton Aargau|Basel-Landschaft|Basel-Stadt|canton of Bern|Kaiserslautern|Karlsruhe|Lörrach|Schwarzwald-Baar district|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Canton of Jura|Canton of Neuchâtel"
"DE111|CH033|CH032|CH031|CH023|DE131|FRF11|DEB35","Stuttgart|Canton Aargau|Basel-Landschaft|Basel-Stadt|Canton of Solothurn|Freiburg im Breisgau|Bas-Rhin|Mainz"
"DE111|CH033|CH032|CH031|DEB33|DEB3E|DE122|DE132|DE139|DE134|DE133|DE131|FRF11|FRF31|FRF12|DEB35|CH025","Stuttgart|Canton Aargau|Basel-Landschaft|Basel-Stadt|Landau in der Pfalz|Germersheim|Karlsruhe|Breisgau-Hochschwarzwald|Lörrach|Ortenau|Emmendingen|Freiburg im Breisgau|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin|Mainz|Canton of Jura"
"DE111|CH033|CH032|CH031|DEB38|DEB36|DE134|DE131|FRF11|FRF31|FRF12","Stuttgart|Canton Aargau|Basel-Landschaft|Basel-Stadt|Speyer|Neustadt an der Weinstraße|Ortenau|Freiburg im Breisgau|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin"
"DE111|CH033|CH032|DEB38|DEB36|DE122|DE124|DE11D|DE132|DE131|FRF11|FRF23|FRF12|FR101|DEA22","Stuttgart|Canton Aargau|Basel-Landschaft|Speyer|Neustadt an der Weinstraße|Karlsruhe|Rastatt district|Ostalbkreis|Breisgau-Hochschwarzwald|Freiburg im Breisgau|Bas-Rhin|Marne|Haut-Rhin|Paris|Bonn"
"DE111|CH033|DE123|DEB32|DE122|DE131|FRF11|DEB35","Stuttgart|Canton Aargau|Karlsruhe|Kaiserslautern|Freiburg im Breisgau|Bas-Rhin|Mainz"
