"NUTS3","funding_by_region","population","funding_per_capita_germany_esf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DEA23",139285355.04,1060580,131.329418846292,57857,4.87770881444673,10.9657297278945,"DEA"
"DEA24",11337132.48,163487,69.3457735477439,45334,4.23910520110764,10.7218125818243,"DEA"
"DEA26",29776624.66,262828,113.293198061089,28131,4.72997913146648,10.2446274500877,"DEA"
"DEA27",14077551.6,466657,30.1668068838569,34349,3.40674221011062,10.4443281851452,"DEA"
"DEA28",9241540.3,191165,48.3432652420684,26189,3.87832692040968,10.1730947542604,"DEA"
"DEA29",9428226.53,252527,37.3355186970106,23832,3.61994511744086,10.0787844943931,"DEA"
"DEA2A",14356268.86,273452,52.5001421090356,34217,3.96081587643269,10.4404778755727,"DEA"
"DEA2B",11930417.99,282729,42.1973621029325,25074,3.74235770967899,10.129586731676,"DEA"
"DEA2C",21217454.51,596213,35.5870377029686,26615,3.57198146208686,10.1892302456069,"DEA"
"DEA2D",54825001.39,553922,98.9760316253913,35713,4.59487771602847,10.4832700471411,"DEA"
"DEA31",39459952.25,117143,336.852840118488,20269,5.81964615877527,9.91684790423797,"DEA"
"DEA32",34006366.23,260368,130.60885450593,29053,4.87220701321126,10.2768770271718,"DEA"
"DEA33",59366680.03,310039,191.481329864952,51715,5.25479030969004,10.8535031538119,"DEA"
"DEA34",15735536.02,369666,42.5669009862957,35520,3.75107697912334,10.4778511971061,"DEA"
"DEA35",5052582.8,218401,23.1344307031561,27489,3.14132201445542,10.2215412036333,"DEA"
"DEA36",67578522.68,617807,109.384520861693,24333,4.69486938876767,10.0995887327385,"DEA"
"DEA37",17843865.6,443374,40.2456291979232,30722,3.69500140661216,10.3327342893091,"DEA"
"DEA38",9836436.49,277431,35.4554339277154,30005,3.568276525511,10.3091193134236,"DEA"
"DEA41",44086820.01,333090,132.35708069891,38290,4.88550342704492,10.5529440444713,"DEA"
"DEA42",20530437.4,360642,56.9274721191653,45492,4.04177803866017,10.7252917653043,"DEA"
"DEA43",15935631.75,252122,63.2060341818643,32221,4.14639977415626,10.3803736928726,"DEA"
"DEA44",8495781.29,144010,58.9943843483091,26443,4.07744225883863,10.1827467519768,"DEA"
"DEA45",34154735.89,350750,97.3762961938703,28497,4.57858281546427,10.2575540975583,"DEA"
"DEA46",10069066.75,313050,32.1644042485226,39199,3.47086038296044,10.5764065152491,"DEA"
"DEA47",31492786.62,304332,103.481679941643,34662,4.63939459164336,10.4533992650093,"DEA"
"DEA51",49629886.31,364742,136.06847116592,31705,4.91315822349564,10.3642296761341,"DEA"
"DEA52",322388069.78,586181,549.980415230108,35664,6.30988266891998,10.4818970556256,"DEA"
"DEA53",22706114.47,189044,120.110209633736,32711,4.78840973491277,10.3954666917557,"DEA"
"DEA54",14956754.94,179397,83.3723804745899,27625,4.42331708514659,10.2264764388201,"DEA"
