"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,377021,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2005","2005",,,"0","Units",,,71446.6,,
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","EUR","Euro","6","Millions","2015","2015",38829.4,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2012","2012",,,"0","Units",,,323589,,
"2","Large regions (TL2)","DE5","Bremen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","EUR","Euro","6","Millions","2015","2015",30170.5,,
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2005","2005",,,"0","Units",,,49041.2,,
"2","Large regions (TL2)","DED","Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,92656.9,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2013","2013",,,"0","Units",,,78111.9,,
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2012","2012","EUR","Euro","0","Units",,,22712,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2013","2013","EUR","Euro","0","Units",,,40128,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2007","2007",,,"0","Units",,,518123,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2012","2012","EUR","Euro","6","Millions",,,54120.1,,
"2","Large regions (TL2)","DEB","Rhineland-Palatinate","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2013","2013","EUR","Euro","0","Units",,,30813,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2008","2008","EUR","Euro","0","Units",,,34899,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2012","2012",,,"0","Units",,,73597.7,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2008","2008",,,"0","Units",,,532854,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2011","2011","EUR","Euro","6","Millions",,,236927,,
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2009","2009",,,"0","Units",,,24979,,
"2","Large regions (TL2)","DEA","North Rhine-Westphalia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2013","2013","EUR","Euro","6","Millions",,,594356,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2009","2009",,,"0","Units",,,67835.5,,
"2","Large regions (TL2)","DEA","North Rhine-Westphalia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2010","2010",,,"0","Units",,,688463,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2005","2005",,,"0","Units",,,241959,,
"2","Large regions (TL2)","DE3","Berlin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2012","2012",,,"0","Units",,,139482,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2006","2006","EUR","Euro","0","Units",,,19423,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2006","2006","EUR","Euro","6","Millions",,,69368.3,,
"2","Large regions (TL2)","DE6","Hamburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2011","2011","EUR","Euro","0","Units",,,55296,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2005","2005",,,"0","Units",,,21044,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2012","2012","EUR","Euro","6","Millions",,,237951,,
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2009","2009","EUR","Euro","0","Units",,,19969,,
"2","Large regions (TL2)","DE5","Bremen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2009","2009",,,"0","Units",,,46388,,
"2","Large regions (TL2)","DEA","North Rhine-Westphalia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2007","2007",,,"0","Units",,,655606,,
"2","Large regions (TL2)","DEC","Saarland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2009","2009","EUR","Euro","6","Millions","2015","2015",31149.5,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2013","2013","EUR","Euro","0","Units",,,24445,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2010","2010","EUR","Euro","0","Units",,,36083,,
"2","Large regions (TL2)","DEC","Saarland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2012","2012","EUR","Euro","0","Units",,,32144,,
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2012","2012","EUR","Euro","6","Millions",,,51362.8,,
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2006","2006","EUR","Euro","6","Millions",,,31447.8,,
"2","Large regions (TL2)","DEB","Rhineland-Palatinate","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2009","2009",,,"0","Units",,,149053,,
"2","Large regions (TL2)","DE9","Lower Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","EUR","Euro","6","Millions","2015","2015",242377,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,52818.7,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,226116,,
"2","Large regions (TL2)","DE7","Hesse","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2009","2009","EUR","Euro","0","Units",,,36181,,
"2","Large regions (TL2)","DE6","Hamburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2011","2011",,,"0","Units",,,119979,,
"2","Large regions (TL2)","DED","Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2012","2012",,,"0","Units",,,137798,,
"2","Large regions (TL2)","DEA","North Rhine-Westphalia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2010","2010","EUR","Euro","6","Millions","2015","2015",601496,,
"2","Large regions (TL2)","DE3","Berlin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2012","2012","EUR","Euro","0","Units",,,32762,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2008","2008","EUR","Euro","6","Millions","2015","2015",56279.8,,
"2","Large regions (TL2)","DE5","Bremen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2005","2005",,,"0","Units",,,42909,,
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_CURR_PR","      National currency per head, current prices","ALL","All regions","2011","2011","EUR","Euro","0","Units",,,22448,,
"2","Large regions (TL2)","DE9","Lower Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","EUR","Euro","6","Millions","2015","2015",236320,,
"2","Large regions (TL2)","DE3","Berlin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2007","2007",,,"0","Units",,,112998,,
