"NUTS3","years_2014_15","years_2016_17","years_2018_19","GDPpercap_2020","GDPpercap_2018"
"DE922",0,14.5947784002642,15.4437053769361,10.316424675483,10.316821619023
"DE718",0,12.4358228958952,13.8786575980481,10.7852075433601,10.8029372672143
"DE114",0,13.2253891697154,13.9185363502754,10.3698595955478,10.4252531163405
"DE11D",13.6322568638653,16.0610188382847,16.0900898619883,10.72364176328,10.7144399907278
"DE149",13.1367592576881,15.3130145452943,15.390343222911,10.5374684224269,10.5537533277777
"DEB3F",0,15.5199973300009,15.9497560321076,9.97021118457904,9.94131306207611
"DEC05",15.1797398540798,15.8151064767946,16.0035522422642,10.5704960754864,10.5971346081377
"DEB23",13.9552725003394,16.2684493562498,16.1672864367729,10.2975208996819,10.2631530203974
"DEA27",0,12.968548978806,14.5106097146786,10.4704477328457,10.4853958626041
"DE24D",15.0379818940351,15.6841587779069,14.8200560727007,10.465300924015,10.4661558197698
"DE931",10.8240582124379,16.000850661654,16.4642133998209,10.3071176446986,10.3112832759826
"DE238",7.45298232946546,14.3146026118511,13.006952525893,10.1693457062579,10.1504648111017
"DEB1D",15.4884786650644,17.0665788999814,16.8147590496629,10.5081586475808,10.4949065015887
"DEA2B",0,12.3138951280589,15.4072228419061,10.2219776466299,10.2437383556607
"DEA59",14.0026040138935,15.4033560523018,15.8497704319505,10.5873164524571,10.624809082279
"DEB1B",0,16.3859822686132,15.8835655067081,10.4782171211387,10.4235305653517
"DEA22",0,14.8502821566207,16.0639539120228,11.2455556938303,11.304387234795
"DE133",13.5923670066501,14.4081729458909,14.7446791721521,10.4284231606205,10.3944267454945
"DEB3H",13.1263553986739,14.521024702247,14.8918147777704,10.2253898758736,10.2095373998461
"DEB22",0,13.9969707021823,16.4641575144194,10.3924662608721,10.3508620637215
"DE239",16.1557406040228,14.8735601518244,15.273418121171,10.5199426557859,10.5085136497009
"DEC03",13.8969787783424,15.4271752605931,16.0839852980024,10.129586731676,10.1447067505776
"DE932",13.4588356140255,17.0463808198421,17.1437122949233,10.1408495410879,10.0602776033003
"DEB11",0,0,14.8629588807236,11.1586903992492,11.1314893346614
"DE736",0,14.0844965663679,15.4411184637404,10.541888114421,10.5407784123413
"DEB33",0,13.1292018748225,14.2132694528937,10.6651108043981,10.6537000870505
"DEA41",10.9737225286455,14.9418149586622,16.9169919274715,10.6561999704335,10.6302629140761
"DE911",12.0456736732168,16.4686564253369,17.45216974939,11.2790368921198,11.2284515741294
"DEC02",12.627943785697,15.5154957827051,15.7005780466875,10.1854658895712,10.2084322645387
"DE122",11.0349617812424,15.4246113404336,16.1047038368574,11.1291435676932,11.1115370359026
"DE714",0,14.6209905709915,16.6135793926959,11.0977735912725,11.0561933779177
"DE403",13.8299384748631,16.2359635781224,16.8625546275888,10.580225840562,10.5276061466856
"DE40D",8.02237214179196,15.5690939181168,16.3117848309392,10.2637460678062,10.1928307445645
"DE938",14.1879730206043,16.7453466786379,17.6645557384192,10.4777948892145,10.4328502973005
"DE91A",0,12.337641785028,14.412795128325,10.0022010254722,10.0108161302887
"DE925",12.9669964193216,16.1525963230727,16.6775330174538,10.2953944960454,10.2545668701177
"DE27D",8.63052187672324,15.2946211248523,16.4155307204378,10.8500940816122,10.8158907376831
"DE917",0,13.8240380949479,15.5853210113848,9.94217927964711,9.9312972531754
"DE71E",0,13.0347029971303,14.1232089334114,10.3132434420614,10.2976894683656
"DE91B",0,15.0500295138837,15.8937456491753,9.96509992166365,9.91739045770512
"DE233",0,0,11.9438417055079,10.9582872682476,10.9260643715946
"DEA1F",0,13.5385113016082,16.4970317043717,10.2998782793686,10.2678181172857
"DE135",13.0664136445798,13.3779147431017,13.9741369212467,10.6383283476452,10.6962085379922
"DE117",11.800607537422,14.2499822045792,14.2897196328074,10.942862797922,10.9407207681944
"DE91C",11.077516480489,17.4945270672307,17.7301568494601,10.50229658072,10.4808309873524
"DE119",13.1223633774043,12.2060726455302,12.6115377536383,10.8620520246376,10.8277067707324
"DEA16",11.5022688847817,14.527304032492,14.8849938805591,10.482205442345,10.502736056652
"DEA44",0,13.7349483602403,14.9960623570581,10.2693798855245,10.2551650299146
"DE724",14.6741300286559,15.7106965751646,16.505075578608,10.6094522368067,10.5602300512023
"DE23A",14.6079689746291,12.2905972023887,14.6856875408724,10.6183473000017,10.5077215488168
"DE136",12.6845070187827,14.3125932337547,14.6865521873532,10.5761258564645,10.5863570986849
"DE939",0,14.6800993849634,15.9247523951753,10.3427419838004,10.3267925787726
"DE93A",13.5045826036801,16.4374929108741,17.657050155912,10.2728072140079,10.2342291144484
"DEA18",0,12.4282773662809,14.5911465459012,10.5062175629716,10.4976427838891
"DE245",0,0,14.2610025029386,10.2118174832111,10.174964020641
"DE246",14.4473185385409,14.1715519679294,13.4910404731639,10.0438580053834,9.99561084141193
"DE723",0,13.6050302939581,15.4780775390042,10.3651124278545,10.3383496374951
"DE137",12.8058359148387,15.681966417464,15.2925965343224,10.7290655202766,10.8089801943108
"DE715",12.4935046867267,14.6961794966367,15.4845759166122,10.2871500346834,10.2723924053325
"DE147",13.7264060828815,15.3409455815484,16.2068089372118,10.8171949504747,10.8453680554093
"DE112",11.4814812364291,12.174628416989,13.0544677608558,11.0526503598021,11.1088893353858
"DE225",13.3851966293159,14.6982218062932,15.0280615105471,10.3822650783332,10.324957234786
"DE937",12.6379546240988,14.7855903608496,16.0143330789453,10.4534281146307,10.3742721267649
"DE22A",14.8999816563157,15.2118311480471,16.6754431539938,10.4501628291958,10.4207921423998
"DEA34",11.5256243253841,14.47808212478,15.8448533864164,10.5672831593812,10.5312692034145
"DEB12",0,14.4846590754702,14.6384278237927,10.1880271927154,10.1845980796049
"DE146",12.2060726455302,14.9813786547424,15.1473224770979,10.8964800326737,10.8760830006208
"DEB3G",0,13.2207369511316,13.3156928436818,9.80796735067872,9.7812069178273
"DE247",15.1628908255849,16.2435971484287,15.1284026978297,10.2286460292571,10.2185537342007
"DE71B",0,12.4377291519335,14.0530864245811,10.182671114733,10.18270893407
"DE719",0,13.6100371821477,14.4535946385684,10.5033949086263,10.5094960752793
"DE21L",0,12.2223968608788,13.2135741479187,10.7411895192499,10.7249619826281
"DE717",0,12.5157503983372,13.2451421358539,10.6619776181462,10.7323886540737
"DEB24",12.9721821654714,15.6463718569438,15.7600712759946,10.3719274598057,10.4116897380954
"DEA2A",9.29042154044856,14.9270531155099,15.6076970772712,10.486959366287,10.4920516929036
"DE948",12.8311951643083,16.0138785820568,17.3639886012075,10.4869035689429,10.4240654677448
"DE254",12.3697492097103,14.8309447785717,14.8061913126883,11.0148515251294,11.0227844323971
"DE242",16.1414252182764,15.8528353554047,15.9860993370212,11.056477540587,11.0804950386316
"DE711",0,13.5039116330535,15.4765728429735,11.3306959039445,11.2737668544593
"DE94H",12.7706631817178,15.9097502889201,16.5420285149903,10.195821289203,10.1596015555202
"DE40I",9.77065762811097,14.1501755587085,15.5175143113108,10.3210788404421,10.3023307843354
"DE22C",0,14.2081838181307,13.7171468408565,11.0165778603849,11.0120006658815
"DE913",0,13.8707526947509,14.6335511440729,12.0555171618999,12.1238534042583
"DE94C",0,15.7476371986982,15.7998372635923,10.1831248524048,10.1532730347968
"DE131",12.4483069097252,16.2809164165502,16.8615709535917,10.9324817743234,10.8634314673317
"DE732",0,14.374696218306,16.2013870352158,10.5413598384373,10.5399850133787
"DE223",0,15.0404617686754,15.1559180363117,10.9522791462203,10.8816632880823
