"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"37824",2018-02-22,2019-02-28,6250.01,12,1
"37825",2016-07-21,2017-01-31,5000.01,6,1
"37826",2020-08-06,2020-11-20,12500,3,1
"37827",2015-05-01,2018-04-30,273953.86,35,3
"37828",2014-10-20,2015-08-10,5121.26,9,1
"37829",2021-07-01,2022-08-30,97633.18,13,2
"37830",2019-03-19,2021-08-30,1e+05,29,3
"37831",2016-08-01,2018-06-30,1350736.4,22,2
"37832",2016-10-01,2019-09-30,7000,35,3
"37835",2014-09-22,2015-04-30,6250.01,7,1
"37836",2018-09-13,2019-04-30,5000,7,1
"37837",2017-07-01,2018-07-31,291700,12,1
"37838",2021-06-01,2023-03-31,236511.95,21,2
"37839",2018-03-13,2019-06-12,4500,14,2
"37840",2018-08-11,2019-10-31,27902.96,14,2
"37841",2017-10-24,2018-05-31,5000.01,7,1
"37842",2018-03-28,2019-03-31,119186.07,12,1
"37843",2020-01-10,2022-06-30,150000,29,3
"37844",2019-09-09,2020-11-08,4370.02,13,2
"37845",2019-05-08,2020-05-07,117040.33,11,1
"37846",2016-07-01,2016-06-17,3750.01,0,1
"37847",2019-11-04,2020-05-30,5882.51,6,1
"37848",2016-08-29,2017-03-31,5000.01,7,1
"37849",2018-01-18,2018-05-31,5000.01,4,1
"37850",2019-04-15,2020-01-31,28925.08,9,1
"37851",2017-06-01,2018-11-30,266633.04,17,2
"37852",2020-04-20,2021-07-14,293413.98,14,2
"37853",2016-01-27,2016-09-28,7634.8,8,1
"37854",2016-03-08,2019-03-07,434400,35,3
"37855",2020-07-15,2021-02-28,10256.26,7,1
"37856",2020-10-20,2022-03-19,125000.01,16,2
"37857",2018-01-15,2021-01-08,392000,35,3
"37858",2019-09-01,2020-10-31,71486,13,2
"37859",2020-12-31,2021-09-28,4976.26,8,1
"37861",2018-12-14,2020-12-31,2891503.56,24,2
"37862",2019-04-01,2019-12-31,68140.28,8,1
"37863",2016-11-22,2016-11-24,15840,0,1
"37864",2016-01-02,2016-05-31,25000,4,1
"37865",2015-07-01,2018-12-31,1143670,41,4
"37866",2017-08-11,2018-04-14,7500,8,1
"37867",2016-11-17,2016-11-18,940,0,1
"37868",2018-02-03,2019-04-30,6250.01,14,2
"37869",2018-02-07,2019-01-12,119808.78,11,1
"37870",2014-11-28,2016-02-27,39142.51,14,2
"37871",2018-04-12,2019-11-30,3495267.75,19,2
"37872",2016-01-01,2019-06-30,655981.29,41,4
"37873",2019-05-01,2021-04-30,190000,23,2
"37874",2017-11-01,2019-03-31,250500,16,2
"37876",2019-01-01,2021-12-31,630269.5,35,3
"37877",2015-08-28,2018-09-05,12067.28,36,3
"37878",2019-05-06,2019-08-01,117000,2,1
"37879",2019-10-15,2022-02-14,502334.69,27,3
"37880",2019-03-28,2023-12-31,1487781.82,57,5
"37881",2017-06-01,2018-11-30,630000,17,2
"37882",2019-07-01,2022-06-30,392443.35,35,3
"37883",2020-01-16,2020-09-01,20000,7,1
"37884",2017-11-20,2019-03-31,301052.68,16,2
"37885",2016-08-01,2020-12-31,749578.51,52,5
"37886",2016-06-05,2017-08-07,16213.65,14,2
"37887",2017-08-15,2017-10-31,12500,2,1
"37888",2018-12-15,2021-05-31,85000,29,3
"37889",2018-01-20,2018-01-28,11550,0,1
"37890",2019-11-09,2020-01-31,5000,2,1
"37891",2016-06-15,2017-12-31,11162.19,18,2
"37892",2021-04-01,2021-12-31,699400,8,1
"37893",2019-05-27,2020-08-01,3750,14,2
"37894",2018-01-01,2020-09-30,427530.08,32,3
"37895",2015-07-02,2017-12-31,233583.39,29,3
"37896",2020-04-01,2022-06-30,5978375.68,26,3
"37897",2019-02-13,2019-05-16,8000,3,1
"37898",2018-12-28,2019-04-30,5000,4,1
"37899",2018-04-01,2022-09-30,304169,53,5
"37900",2017-12-13,2019-03-12,2700,14,2
"37901",2015-02-19,2015-07-31,5000.01,5,1
"37902",2016-11-21,2017-05-24,5514.9,6,1
"37903",2018-03-21,2021-04-30,245253.05,37,4
"37904",2014-11-28,2015-01-11,11058.01,1,1
"37905",2019-07-08,2019-10-07,7500,2,1
"37906",2017-07-01,2019-10-31,584352.41,27,3
"37907",2014-10-24,2015-07-31,6250.01,9,1
"37908",2016-05-23,2016-09-07,12241.01,3,1
"37909",2014-12-18,2022-12-31,2945340.44,96,8
"37910",2016-11-29,2019-01-31,5000.01,26,3
"37911",2017-12-21,2022-12-31,3862500,60,5
"37912",2016-03-01,2019-02-28,4860664.11,35,3
"37913",2019-05-01,2022-04-30,8000,35,3
"37914",2017-08-23,2018-02-28,3406.23,6,1
"37915",2017-11-17,2018-05-31,6250.01,6,1
"37916",2016-09-14,2016-10-30,83333.33,1,1
"37917",2020-06-08,2021-12-31,19533,18,2
"37918",2015-11-03,2018-06-01,417300,30,3
"37919",2018-06-01,2020-09-30,650000,27,3
"37920",2018-05-03,2018-11-16,7500,6,1
"37921",2019-07-30,2020-09-30,20788.13,14,2
"37922",2019-01-09,2022-02-28,1038950,37,4
"37923",2018-05-01,2019-06-30,60000,13,2
"37924",2020-05-01,2021-09-30,56626.53,16,2
"37925",2016-11-25,2017-06-30,5000.01,7,1
"37926",2017-07-26,2018-01-31,6250.01,6,1
"37927",2016-01-01,2018-12-31,997299,35,3
"37928",2015-11-05,2022-12-31,5278517,85,8
"37930",2019-05-17,2021-08-31,1e+05,27,3
"37931",2016-02-25,2016-12-31,17494.5,10,1
