"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"20332",2019-06-01,2022-05-31,670468.75,35,3
"20333",2020-07-13,2021-09-12,143144,13,2
"20334",2019-03-01,2022-02-28,393173.75,35,3
"20335",2019-03-13,2020-05-12,45000,13,2
"20336",2016-10-15,2020-07-31,983251,45,4
"20337",2018-02-26,2018-06-30,6250.01,4,1
"20338",2021-06-09,2021-12-31,13000,6,1
"20339",2017-11-28,2019-04-11,7500,16,2
"20340",2019-07-29,2020-01-19,5000,5,1
"20341",2017-12-14,2018-05-31,5000.01,5,1
"20342",2015-08-25,2018-08-31,9282,36,3
"20343",2016-03-31,2016-09-30,36051.04,6,1
"20344",2020-08-19,2020-12-31,42310,4,1
"20345",2020-01-15,2021-06-30,73500,17,2
"20346",2017-08-02,2018-05-31,5000.01,9,1
"20347",2016-09-17,2016-09-25,5500,0,1
"20348",2017-01-02,2017-06-30,5000.01,5,1
"20349",2016-01-20,2016-12-31,421506.02,11,1
"20350",2017-09-10,2018-10-31,12275,13,2
"20351",2016-02-09,2017-04-30,30374.92,14,2
"20352",2017-10-16,2018-11-18,18086.84,13,2
"20353",2020-01-01,2022-12-31,500899.43,35,3
"20354",2016-11-01,2017-10-31,3836.16,11,1
"20355",2021-02-15,2022-01-17,5000,11,1
"20356",2019-11-01,2022-10-31,267907.5,35,3
"20357",2016-04-25,2018-06-11,60935.03,25,3
"20358",2020-12-10,2022-03-31,3200,15,2
"20359",2018-07-04,2019-02-13,18944.14,7,1
"20360",2018-07-01,2021-02-28,19341.9,31,3
"20361",2017-03-21,2019-03-20,43863.48,23,2
"20362",2019-01-01,2022-12-15,1657480,47,4
"20363",2019-07-02,2019-10-12,7500,3,1
"20364",2015-03-25,2016-04-30,5000.01,13,2
"20366",2021-03-18,2021-12-31,36500,9,1
"20367",2014-09-26,2015-05-31,5000.01,8,1
"20368",2017-11-13,2017-11-16,3072,0,1
"20369",2021-05-03,2022-10-03,220000,17,2
"20370",2021-02-01,2022-09-30,144444.44,19,2
"20371",2017-02-10,2018-04-30,5000.01,14,2
"20372",2020-11-12,2022-12-31,236253,25,3
"20373",2016-05-26,2017-01-31,5000.01,8,1
"20374",2020-02-01,2021-10-31,322140,20,2
"20375",2016-10-28,2017-12-31,91576.14,14,2
"20376",2015-10-08,2016-05-31,181810.05,7,1
"20377",2015-05-15,2017-05-14,215255.09,23,2
"20378",2015-11-01,2018-09-30,2550119.65,34,3
"20379",2018-03-01,2019-06-30,175652.4,15,2
"20380",2016-03-17,2017-12-31,51493.44,21,2
"20381",2017-03-07,2018-12-31,102006.8,21,2
"20382",2020-09-01,2021-12-31,70000,15,2
"20383",2020-03-27,2022-07-31,67500.01,28,3
"20384",2020-06-10,2021-12-15,52083.92,18,2
"20385",2015-01-10,2017-03-31,94554.92,26,3
"20386",2018-06-01,2021-10-31,523491.16,40,4
"20387",2018-05-16,2019-04-30,5000.01,11,1
"20388",2015-07-01,2016-04-30,71090.6,9,1
"20389",2020-01-01,2023-12-15,160000,47,4
"20391",2018-11-01,2021-10-31,1348845,35,3
"20392",2020-01-01,2021-10-31,67027.5,21,2
"20393",2018-05-01,2019-07-30,1920876.9,14,2
"20394",2021-03-01,2022-03-31,825900,12,1
"20395",2015-08-12,2017-09-30,43600.83,25,3
"20396",2018-09-02,2018-06-30,3750.01,-2,1
"20397",2016-10-11,2018-01-10,4500,14,2
"20398",2017-05-01,2020-04-30,916666.67,35,3
"20399",2018-09-03,2019-03-30,443000,6,1
"20400",2014-10-01,2016-03-31,6e+05,17,2
"20401",2015-01-12,2016-12-16,2750000,23,2
"20402",2018-11-01,2020-01-31,110000,14,2
"20403",2019-08-01,2020-08-01,16613.57,12,1
"20404",2019-12-01,2022-11-30,774125,35,3
"20405",2019-10-01,2022-07-30,485340.63,33,3
"20406",2018-08-06,2019-07-08,21428.13,11,1
"20407",2016-07-01,2018-12-31,177106.25,29,3
"20408",2018-02-02,2019-07-10,4209.85,17,2
"20409",2017-03-31,2018-02-28,5000.01,11,1
"20410",2018-03-08,2018-11-27,18273,8,1
"20411",2017-04-24,2017-04-28,6420,0,1
"20412",2015-01-07,2021-03-31,1524500,74,7
"20413",2017-05-16,2018-04-30,6250.01,11,1
"20414",2020-02-03,2022-02-28,133333.33,24,2
"20415",2016-03-08,2017-05-31,5000.01,14,2
"20416",2020-01-07,2021-09-30,30049.38,20,2
"20417",2020-05-01,2021-12-31,116673.58,19,2
"20418",2020-08-14,2020-10-16,5000,2,1
"20419",2017-06-11,2019-05-31,5000.01,23,2
"20420",2019-07-10,2020-07-30,5900.01,12,1
"20421",2020-09-22,2021-12-31,40000,15,2
"20422",2018-06-25,2019-08-30,1692480,14,2
"20423",2018-06-29,2019-03-31,434331.21,9,1
"20424",2019-01-07,2021-12-31,189740.82,35,3
"20425",2016-10-17,2018-01-02,12597.51,14,2
"20426",2016-04-01,2018-12-31,209957.35,32,3
"20427",2018-08-01,2019-03-31,57742.3,7,1
"20428",2015-02-12,2017-12-31,2107000,34,3
"20429",2019-01-10,2019-07-09,18482.65,5,1
"20430",2019-10-25,2022-03-13,9100,28,3
"20431",2016-09-12,2017-05-31,5000.01,8,1
"20432",2015-11-03,2015-12-31,4342.51,1,1
"20433",2020-09-15,2022-06-30,947526.48,21,2
"20434",2015-07-01,2016-07-31,299004.4,12,1
"20435",2018-09-28,2019-11-27,38373.13,13,2
"20436",2019-04-01,2020-09-01,1e+05,17,2
"20437",2014-09-24,2014-09-27,3200,0,1
"20439",2019-05-15,2022-11-30,12583730,42,4
"20440",2018-10-05,2019-04-18,5100,6,1
"20441",2019-11-04,2020-12-31,50000,13,2
"20442",2017-04-09,2018-01-31,5000.01,9,1
"20443",2019-09-05,2020-11-07,6376.84,14,2
"20444",2018-02-15,2019-04-30,292311,14,2
"20445",2017-06-02,2017-06-05,2400,0,1
"20446",2018-03-19,2018-04-27,49706.2,1,1
"20447",2016-08-03,2016-10-27,13000,2,1
"20448",2018-01-01,2022-01-31,466700,48,4
"20449",2016-12-20,2017-04-10,8600,3,1
"20450",2020-06-01,2022-03-31,124980.58,21,2
"20451",2015-11-09,2018-05-31,5000.01,30,3
"20452",2020-11-16,2021-04-11,4000,4,1
"20453",2016-08-22,2017-07-31,5000.01,11,1
"20454",2016-11-30,2017-11-30,30403.21,12,1
"20455",2014-07-25,2015-07-24,210000,11,1
"20456",2017-11-08,2018-06-30,5000.01,7,1
"20457",2015-06-02,2015-10-17,5215.08,4,1
"20458",2015-10-23,2018-03-31,117672.6,29,3
"20459",2019-09-05,2022-09-04,232780,35,3
"20460",2016-01-09,2017-02-28,25000,13,2
"20461",2017-01-25,2017-06-30,5000.01,5,1
"20462",2017-11-23,2018-12-31,239125.63,13,2
"20463",2019-06-20,2020-06-30,152447.65,12,1
"20464",2019-12-13,2022-11-01,5000,34,3
"20465",2018-07-31,2022-12-31,1003000,53,5
"20466",2017-12-09,2018-01-31,5000.01,1,1
"20467",2020-02-06,2022-05-31,479962.75,27,3
"20468",2017-02-02,2018-03-26,6066.09,13,2
"20469",2014-02-13,2015-03-31,5000.01,13,2
"20470",2016-10-08,2017-01-31,3750.01,3,1
"20471",2018-01-18,2018-02-27,15053.51,1,1
"20472",2021-02-01,2021-12-31,155626,10,1
"20473",2017-07-07,2020-12-31,89360,41,4
"20474",2017-04-21,2020-12-31,46597.93,44,4
"20475",2017-01-01,2018-12-31,101391.24,23,2
"20476",2015-09-15,2016-09-14,27800.01,11,1
"20477",2019-03-20,2020-01-30,67488,10,1
"20478",2018-03-15,2018-07-16,24987.5,4,1
"20479",2015-09-09,2016-08-31,29392.99,11,1
"20480",2015-09-01,2016-09-30,63000,12,1
"20481",2020-01-17,2020-09-14,5000,7,1
"20482",2019-04-01,2020-05-31,1e+05,13,2
"20483",2020-12-19,2022-03-30,62500.01,15,2
"20484",2019-03-15,2019-03-17,1500,0,1
"20485",2020-03-01,2022-12-31,416324.05,33,3
"20486",2017-05-23,2018-05-30,63939.66,12,1
"20487",2017-12-14,2018-07-10,7500,6,1
"20488",2018-10-01,2020-12-31,2760604,26,3
"20489",2019-04-10,2020-03-31,14050,11,1
"20490",2019-10-02,2020-07-31,100750,9,1
"20491",2018-10-24,2019-05-31,5000,7,1
"20492",2020-06-15,2021-10-07,7500,15,2
"20493",2019-10-01,2019-08-12,5000,-1,1
"20494",2017-09-26,2018-06-08,14167.02,8,1
"20495",2018-03-26,2018-10-31,5000.01,7,1
"20496",2015-11-01,2016-04-30,12725,5,1
"20497",2019-01-24,2020-04-23,1500,14,2
"20498",2018-07-03,2018-07-05,11400,0,1
"20499",2020-01-01,2022-12-31,1039120.92,35,3
"20500",2018-07-18,2019-05-31,5000.01,10,1
"20501",2016-11-09,2019-11-08,756140.3,35,3
"20502",2017-08-17,2018-08-31,796150.76,12,1
"20503",2019-01-01,2022-06-30,1627424.47,41,4
"20504",2016-09-01,2017-03-31,44982,6,1
"20505",2019-07-16,2020-07-15,66666.66,11,1
"20506",2018-01-26,2018-12-31,146403,11,1
"20507",2015-01-15,2015-09-30,148588.66,8,1
"20508",2016-02-22,2017-01-31,5000.01,11,1
"20509",2018-12-01,2021-11-30,410297.5,35,3
"20510",2016-01-14,2017-01-31,6250.01,12,1
"20511",2020-03-04,2021-11-30,396091,20,2
"20512",2019-05-29,2019-08-20,7500,2,1
"20513",2019-11-28,2021-10-31,61443.13,23,2
"20514",2018-06-30,2021-12-31,1740672.88,42,4
"20515",2020-03-31,2020-06-18,57133.44,2,1
"20516",2016-02-15,2019-06-30,211445,40,4
"20517",2019-09-20,2021-11-15,5000,25,3
"20518",2016-08-08,2018-08-07,27360.97,23,2
"20519",2017-01-02,2017-07-31,5000.01,6,1
"20520",2019-04-01,2022-06-30,180000,38,4
"20521",2018-06-08,2019-04-30,5000,10,1
"20522",2016-07-20,2017-10-31,3125,15,2
"20523",2018-05-07,2019-01-31,5000,8,1
"20524",2018-05-11,2019-11-13,18773.91,18,2
"20525",2017-04-13,2018-07-18,31134.19,15,2
"20526",2018-07-03,2018-06-30,5000.01,0,1
"20527",2015-07-13,2016-05-18,28657.02,10,1
"20528",2016-06-01,2019-05-31,350265.73,35,3
"20529",2017-05-08,2018-03-31,199920,10,1
"20530",2017-07-07,2017-08-27,13000,1,1
"20531",2017-03-13,2017-06-29,6000,3,1
"20532",2020-11-26,2021-08-30,21066.32,9,1
"20533",2017-03-15,2020-07-14,238275,39,4
"20534",2019-04-01,2021-05-31,144444.45,25,3
"20535",2014-10-07,2015-06-30,6250.01,8,1
"20536",2020-01-01,2022-12-31,562406.25,35,3
"20537",2019-05-01,2022-04-30,352910,35,3
"20538",2021-05-27,2021-11-11,25000,5,1
"20539",2017-04-18,2019-06-30,575895,26,3
"20540",2018-12-14,2019-04-18,5500,4,1
"20541",2016-02-24,2017-05-31,28792.51,15,2
"20542",2016-04-27,2017-05-31,5000.01,13,2
"20543",2017-10-20,2019-09-30,27920.22,23,2
"20544",2014-03-11,2015-06-30,5000.01,15,2
"20545",2015-07-06,2015-11-30,5471.39,4,1
"20546",2017-01-03,2018-01-31,5000.01,12,1
"20547",2018-07-18,2019-09-17,310000,13,2
"20548",2017-11-08,2019-02-07,3600,14,2
"20549",2017-02-05,2018-01-31,2500.01,11,1
"20550",2017-08-31,2018-01-31,6250.01,5,1
"20551",2016-11-25,2019-01-31,5000.01,26,3
"20552",2019-11-01,2022-10-31,595904.02,35,3
"20553",2016-04-01,2017-08-31,1494000,16,2
"20554",2020-04-01,2022-04-01,1748232.44,24,2
"20555",2018-10-01,2021-12-31,1874392.02,38,4
"20556",2020-10-28,2021-07-30,41250.01,9,1
"20557",2019-09-30,2021-07-31,1250000,22,2
"20558",2021-02-01,2021-11-30,226746,9,1
"20559",2019-11-14,2020-02-28,20950,3,1
"20560",2018-09-03,2018-07-31,5000.01,-1,1
"20561",2017-06-22,2018-06-30,56574.91,12,1
"20562",2018-09-02,2018-11-15,4250.2,2,1
"20563",2016-10-17,2017-04-30,25689.72,6,1
"20564",2020-02-12,2021-03-31,96000,13,2
"20565",2019-06-13,2020-04-15,18506.12,10,1
"20566",2015-10-10,2016-06-30,8880,8,1
"20567",2016-02-15,2017-03-31,12500.01,13,2
"20568",2018-11-08,2018-11-10,1414.8,0,1
"20569",2016-04-28,2017-03-31,6250.01,11,1
"20570",2017-03-01,2020-05-31,1995652.5,38,4
"20571",2020-06-04,2021-12-31,46252.53,18,2
"20572",2017-10-24,2018-12-15,57457.13,13,2
"20573",2019-01-31,2020-02-03,14640.94,12,1
"20574",2016-01-01,2023-12-31,1226096.94,95,8
"20575",2016-10-19,2017-01-26,8000,3,1
"20576",2016-10-10,2018-10-09,283804.2,23,2
"20577",2015-12-01,2016-10-31,12725,10,1
"20578",2020-06-05,2022-12-04,395023.52,29,3
"20579",2020-01-01,2020-10-31,43903.06,9,1
"20580",2017-11-01,2020-10-31,7000,35,3
"20581",2019-02-06,2019-02-10,4760,0,1
"20582",2020-09-21,2021-11-15,21687.51,13,2
"20583",2020-06-22,2021-12-31,150000,18,2
"20584",2018-07-01,2021-08-31,6e+05,37,4
"20585",2019-05-01,2022-04-30,715872.75,35,3
"20586",2018-09-18,2019-01-31,5000,4,1
"20587",2015-09-29,2016-04-30,6250.01,7,1
"20588",2019-03-01,2022-02-28,21215962.6,35,3
"20589",2016-07-01,2017-02-28,12600,7,1
"20590",2018-05-09,2019-05-31,5000,12,1
"20591",2016-08-01,2019-07-31,513056.97,35,3
"20592",2020-10-08,2020-10-10,3416,0,1
"20593",2015-01-09,2019-08-31,290333.75,55,5
"20594",2018-12-21,2019-05-31,5000,5,1
"20595",2020-03-12,2021-05-09,91794.56,13,2
"20596",2020-07-01,2022-06-30,664316.89,23,2
"20597",2017-02-08,2017-05-18,8340,3,1
"20598",2018-01-18,2018-08-30,6250.01,7,1
"20599",2015-11-01,2018-09-30,731509.78,34,3
"20600",2019-01-05,2020-08-31,49216.06,19,2
"20601",2015-02-04,2016-01-07,18582.51,11,1
"20602",2019-07-23,2020-02-29,55568.84,7,1
"20603",2019-12-01,2022-06-30,936628.83,30,3
"20604",2018-11-12,2018-11-15,1315,0,1
"20605",2017-10-20,2018-05-22,7156.86,7,1
"20606",2018-02-07,2019-07-31,975000,17,2
"20607",2016-01-01,2023-12-31,426262.52,95,8
"20608",2020-01-10,2021-02-28,24968.75,13,2
"20609",2015-10-15,2016-06-30,99088.17,8,1
"20610",2016-09-23,2017-03-31,5000.01,6,1
"20611",2015-07-27,2016-01-29,6250.01,6,1
"20612",2019-09-01,2022-04-30,402790.18,31,3
"20613",2016-09-13,2016-09-17,2187,0,1
"20614",2018-07-01,2021-12-31,3821048,41,4
"20615",2016-12-22,2017-04-30,5000.01,4,1
"20616",2018-01-30,2019-06-30,21322.24,17,2
"20617",2016-08-03,2016-11-30,28528.76,3,1
"20618",2017-01-01,2019-12-31,1123154.03,35,3
"20619",2016-01-12,2017-09-15,3118.75,20,2
"20620",2020-10-02,2021-02-28,5518.44,4,1
"20621",2018-07-01,2019-07-31,69360,12,1
"20622",2017-03-02,2017-12-31,251111.67,9,1
"20623",2018-11-22,2020-07-31,82000,20,2
"20624",2019-06-01,2022-05-31,221692.5,35,3
"20625",2017-03-18,2017-03-26,3510,0,1
"20626",2017-12-13,2018-06-30,5000.01,6,1
"20627",2018-04-01,2018-06-30,5000.01,2,1
"20628",2019-07-10,2020-05-30,7141.88,10,1
"20629",2017-08-22,2020-12-31,97904.74,40,4
"20630",2020-01-07,2022-10-31,336513,33,3
"20631",2020-02-10,2021-03-31,96000,13,2
"20632",2016-06-25,2016-12-31,31557.04,6,1
"20633",2016-01-01,2022-12-31,1082577,83,7
"20634",2018-10-25,2019-07-31,156600,9,1
"20635",2017-09-01,2018-12-15,244013.71,15,2
"20636",2019-02-06,2019-07-17,29455.98,5,1
"20637",2016-05-01,2019-04-30,600326.65,35,3
"20638",2020-10-01,2021-07-31,71428.57,9,1
"20639",2020-09-28,2022-03-31,143936.5,18,2
"20640",2018-05-31,2019-04-30,5000.01,11,1
"20641",2020-01-10,2020-01-12,1620,0,1
"20642",2018-04-12,2020-04-11,4828.81,23,2
"20643",2016-03-28,2018-07-31,160176.59,28,3
"20644",2020-06-24,2021-12-15,6000,17,2
"20645",2015-01-01,2021-12-31,171630.58,83,7
"20646",2017-01-15,2018-12-31,1e+06,23,2
"20647",2020-06-05,2021-12-08,5000,18,2
"20648",2016-04-18,2016-10-13,6217.2,5,1
"20649",2017-10-04,2018-06-19,5643.32,8,1
"20650",2018-10-01,2021-06-30,862500,32,3
"20651",2014-09-23,2017-01-31,5000.01,28,3
"20652",2015-01-01,2022-12-31,795699.31,95,8
"20653",2018-10-01,2022-06-30,737000,44,4
"20654",2019-10-01,2022-06-30,17400000,32,3
"20655",2020-06-15,2021-03-31,50250,9,1
"20656",2017-06-07,2017-12-15,35053.83,6,1
"20657",2019-07-01,2021-09-30,200100,26,3
"20658",2019-06-01,2022-05-31,176480,35,3
"20659",2020-10-01,2021-11-30,61838.42,13,2
"20660",2019-09-01,2022-02-28,340756.29,29,3
"20661",2017-11-20,2021-09-30,7786000,46,4
"20662",2017-02-17,2017-10-31,6250.01,8,1
"20663",2019-10-25,2021-01-24,6000,14,2
"20664",2019-03-14,2020-05-17,10954.38,14,2
"20665",2018-10-01,2019-06-30,134770.38,8,1
"20666",2018-03-01,2020-02-29,245007.52,23,2
"20667",2019-12-01,2022-11-30,86568.28,35,3
"20668",2016-12-21,2018-02-19,3725.01,13,2
"20669",2018-04-01,2021-06-30,389458.34,38,4
"20670",2018-04-01,2021-07-01,620000,39,4
"20671",2018-02-14,2019-02-28,6250.01,12,1
"20672",2020-03-03,2021-03-03,42082.65,12,1
"20673",2020-03-16,2021-05-31,6875.01,14,2
"20674",2021-01-04,2022-08-30,187452.51,19,2
"20676",2016-06-10,2018-01-31,6250.01,19,2
"20677",2020-09-01,2022-06-30,443500.12,21,2
"20678",2017-11-21,2019-01-31,5000.01,14,2
"20679",2020-01-02,2021-06-30,167812.51,17,2
"20680",2017-08-18,2017-08-20,1012,0,1
"20681",2019-03-01,2020-03-31,45752.3,12,1
"20682",2015-08-10,2016-03-10,6436.8,7,1
"20683",2020-03-26,2021-07-27,30437.51,16,2
"20684",2018-05-17,2020-10-31,1207777.23,29,3
"20685",2017-08-16,2018-01-31,5816.5,5,1
"20686",2016-10-01,2020-01-31,2991547.3,39,4
"20687",2017-01-03,2017-08-31,6250.01,7,1
"20688",2021-03-01,2022-04-28,99643.05,13,2
"20689",2017-05-05,2018-03-31,5000.01,10,1
"20690",2016-12-05,2017-08-31,55782.66,8,1
"20691",2016-02-29,2017-02-28,10873.95,12,1
"20692",2019-09-06,2020-09-05,3950,11,1
"20693",2020-08-07,2021-03-31,161245,7,1
"20694",2020-01-01,2020-12-31,169500,11,1
"20695",2015-09-24,2016-04-29,5000.01,7,1
"20696",2019-01-06,2019-09-30,25000,8,1
"20697",2018-06-24,2018-10-31,6981.26,4,1
"20698",2017-10-05,2019-12-15,239357.57,26,3
"20699",2016-09-15,2017-07-31,20131.26,10,1
"20700",2016-03-08,2019-06-30,662212.5,39,4
"20701",2017-08-31,2018-02-28,6250.01,6,1
"20702",2017-04-01,2019-04-30,100988.84,24,2
"20703",2017-12-01,2018-04-30,76379.5,4,1
"20704",2019-11-01,2022-10-31,1197880.2,35,3
"20705",2017-01-05,2020-04-30,215805.66,39,4
"20706",2018-02-03,2019-04-30,6250.01,14,2
"20707",2019-08-26,2021-06-30,66916.07,22,2
"20708",2021-03-30,2022-03-29,16195,11,1
"20709",2021-01-01,2022-07-31,257730.69,18,2
"20710",2017-07-01,2020-06-30,45611.3,35,3
"20711",2020-12-16,2022-01-29,62500.01,13,2
"20712",2021-02-01,2022-02-28,69000,12,1
"20713",2016-04-15,2019-12-31,869827.68,44,4
"20714",2016-06-24,2017-06-23,17523.76,11,1
"20715",2017-06-01,2020-05-30,266819.56,35,3
"20716",2018-09-14,2020-12-31,2598307.91,27,3
"20717",2020-09-25,2021-09-30,150268.53,12,1
"20718",2020-11-23,2021-08-30,12322,9,1
"20719",2016-01-01,2018-06-30,535489,29,3
"20720",2015-10-15,2018-10-14,40000,35,3
"20721",2019-03-15,2020-05-27,35625.01,14,2
"20722",2017-01-02,2020-04-30,701391,39,4
"20723",2019-02-01,2020-12-31,1163000,22,2
"20724",2019-02-28,2022-06-30,1165532.53,40,4
"20725",2020-01-01,2021-12-31,975975,23,2
"20726",2019-05-28,2020-08-27,4250,14,2
"20727",2016-10-10,2019-06-30,235378.51,32,3
"20728",2017-09-20,2018-01-31,5000.01,4,1
"20729",2017-11-23,2017-11-26,8516.79,0,1
"20730",2019-07-01,2021-06-30,54900,23,2
"20731",2020-11-19,2021-05-31,12725.08,6,1
"20732",2019-03-19,2021-01-21,88778.89,22,2
"20733",2020-03-11,2020-03-15,285.24,0,1
"20734",2016-04-07,2017-01-31,5000.01,9,1
"20735",2018-05-22,2019-03-31,5000.01,10,1
"20736",2019-05-16,2020-02-29,5760.76,9,1
"20737",2021-01-04,2022-10-31,1350000,21,2
"20738",2016-04-01,2017-06-30,1488800,14,2
"20739",2019-01-06,2021-11-30,303137,34,3
"20740",2018-01-10,2018-01-12,4900,0,1
"20741",2017-03-01,2020-02-29,231850,35,3
"20742",2019-03-15,2022-04-30,717000,37,4
"20743",2015-12-18,2023-12-31,1801252.04,96,8
"20744",2019-10-15,2021-09-20,403700,23,2
"20745",2019-06-17,2020-03-16,138695,8,1
"20747",2020-12-18,2022-01-31,2390000,13,2
"20748",2017-01-01,2020-06-30,485441.48,41,4
"20749",2017-03-29,2017-08-31,5000.01,5,1
"20751",2016-01-21,2017-01-30,133333.34,12,1
"20752",2016-01-01,2017-12-31,219380,23,2
"20753",2017-01-11,2018-09-30,5000.01,20,2
"20754",2014-10-15,2015-06-15,5000.01,8,1
"20755",2019-07-17,2021-02-28,6118.76,19,2
"20756",2017-01-11,2018-01-31,24906.25,12,1
"20757",2020-07-01,2021-03-31,71663.65,8,1
"20758",2015-02-02,2015-05-29,5000.01,3,1
"20759",2016-09-06,2017-01-31,6250.01,4,1
"20760",2018-03-19,2018-10-27,6000,7,1
"20761",2016-12-15,2019-12-14,213885.21,35,3
"20762",2016-06-06,2017-09-30,50000.01,15,2
"20763",2019-07-18,2020-02-29,3443.76,7,1
"20764",2019-05-24,2019-10-31,5000,5,1
"20765",2016-09-05,2018-12-31,339349.73,27,3
"20766",2018-12-11,2019-07-05,89140.84,6,1
"20767",2016-04-20,2016-04-24,1584,0,1
"20768",2018-05-02,2021-04-14,3645000,35,3
"20769",2017-04-13,2020-12-31,10550140.12,44,4
"20770",2017-03-23,2017-06-03,13000,2,1
"20771",2015-11-25,2015-11-29,3207.03,0,1
"20772",2017-12-15,2019-06-30,1500,18,2
"20773",2018-04-09,2021-07-31,263288,39,4
"20774",2017-08-31,2018-01-02,6250.01,4,1
"20775",2017-10-28,2017-11-05,3044,0,1
"20776",2019-08-30,2020-11-30,285742,15,2
"20777",2017-04-01,2020-03-31,210001,35,3
"20778",2018-10-22,2019-07-31,5000,9,1
"20779",2018-01-01,2021-05-31,332379.5,40,4
"20781",2020-05-25,2020-12-31,25000,7,1
"20782",2017-08-31,2018-01-02,6250.01,4,1
"20783",2016-11-28,2017-07-31,5000.01,8,1
"20784",2018-06-20,2021-06-19,252000,35,3
"20785",2019-02-27,2020-01-15,5000,10,1
"20786",2020-01-17,2020-04-09,6150.01,2,1
"20787",2017-09-11,2019-06-01,350000,20,2
"20788",2019-05-08,2020-06-30,62500.01,13,2
"20789",2015-06-05,2016-03-31,624725,9,1
"20790",2016-10-01,2019-09-30,397144.13,35,3
"20791",2015-09-01,2017-11-30,215527.8,26,3
"20792",2016-02-15,2019-10-31,5110325.41,44,4
"20793",2017-02-16,2017-02-19,8448,0,1
"20794",2016-05-30,2017-02-08,13000,8,1
"20795",2018-10-16,2019-01-18,2598.37,3,1
"20796",2017-03-14,2017-06-16,8000,3,1
"20797",2020-04-15,2021-12-31,205700,20,2
"20798",2017-01-13,2017-04-30,6250.01,3,1
"20799",2018-11-27,2019-02-28,6207.38,3,1
"20800",2019-07-01,2022-02-28,2187567.21,31,3
"20801",2020-07-21,2021-04-15,12274.76,8,1
"20802",2017-01-01,2020-03-31,658374.32,38,4
"20803",2017-01-31,2017-02-02,2938.45,0,1
"20804",2014-12-15,2015-05-31,5000.01,5,1
"20805",2016-10-31,2020-12-31,3341339.06,50,5
"20807",2017-10-23,2018-08-10,6462.84,9,1
"20808",2020-07-12,2022-06-02,48490.51,22,2
"20809",2016-01-06,2017-06-10,46817.51,17,2
"20810",2017-12-05,2017-11-15,12261.02,0,1
"20811",2019-04-17,2020-08-30,62500.01,16,2
"20812",2020-01-01,2022-04-30,207145.4,27,3
"20813",2017-12-08,2019-09-24,130836.01,21,2
"20814",2016-09-22,2016-09-29,2710.8,0,1
"20815",2019-08-19,2021-11-30,4153734.35,27,3
"20816",2017-10-23,2019-01-22,3600,14,2
"20817",2019-11-15,2021-05-07,5000,17,2
"20818",2017-04-09,2018-01-31,3750.01,9,1
"20819",2016-01-27,2016-11-30,6250,10,1
"20820",2020-01-01,2022-12-31,471561.92,35,3
"20821",2019-10-01,2019-11-30,8000,1,1
"20822",2019-01-29,2019-05-22,4745.42,3,1
"20823",2019-06-01,2022-05-31,386211.75,35,3
"20824",2017-03-08,2021-06-30,133333.34,51,5
"20825",2017-06-14,2019-06-13,4e+05,23,2
"20826",2020-10-10,2021-11-29,36426.57,13,2
"20827",2015-10-01,2018-06-30,244034.38,32,3
"20828",2017-03-30,2018-03-31,5000.01,12,1
"20829",2019-10-23,2021-09-30,28686.26,23,2
"20830",2016-04-20,2017-09-30,59148.73,17,2
"20831",2018-04-10,2021-05-31,7984541.67,37,4
"20832",2019-03-05,2020-06-29,62500.01,15,2
"20833",2018-09-07,2019-01-31,5000.01,4,1
"20835",2015-10-12,2018-12-31,8477504.95,38,4
"20836",2019-11-28,2021-02-27,1912.5,14,2
"20838",2018-07-17,2019-09-17,7500,14,2
"20839",2017-07-26,2018-01-31,6250.01,6,1
"20840",2020-03-16,2022-03-31,215195.54,24,2
"20841",2015-10-27,2015-10-29,5400,0,1
"20842",2016-04-13,2017-12-10,2100,19,2
"20843",2019-09-15,2022-03-31,591270,30,3
"20844",2018-03-22,2019-03-31,5000.01,12,1
"20845",2019-01-01,2020-07-21,438927.77,18,2
"20846",2019-07-23,2021-10-31,260020,27,3
"20847",2017-07-04,2018-09-07,24076.26,14,2
"20848",2016-08-04,2017-07-18,215000,11,1
"20849",2020-09-03,2021-09-02,40000,11,1
"20850",2015-08-15,2016-02-29,16875,6,1
"20851",2015-11-30,2017-02-28,5000.01,15,2
"20852",2019-04-08,2020-12-04,6950000,19,2
"20853",2014-05-12,2015-05-31,6250.01,12,1
"20854",2016-10-11,2018-01-10,4500,14,2
"20855",2016-03-01,2019-06-30,598292.13,39,4
"20856",2020-01-01,2021-12-31,669793.39,23,2
"20857",2020-06-09,2021-05-15,27203.4,11,1
"20858",2020-09-01,2023-08-31,8000,35,3
"20859",2018-12-18,2019-12-31,10398.76,12,1
"20860",2018-06-14,2018-12-31,63000,6,1
"20861",2016-02-15,2019-01-31,465487.97,35,3
"20862",2018-02-15,2021-06-30,1214000,40,4
"20863",2020-08-01,2020-12-31,37240,4,1
"20864",2014-04-01,2016-07-31,437537.27,27,3
"20865",2020-05-13,2021-05-31,87008,12,1
"20866",2021-03-15,2021-08-31,50000,5,1
"20867",2021-05-27,2022-10-26,7500,16,2
"20868",2014-12-30,2015-12-25,47935.01,11,1
"20869",2019-10-01,2019-09-04,4000,0,1
"20870",2019-02-15,2021-01-09,40000,22,2
