DATAFLOW,LAST UPDATE,freq,ipc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE126,2009,0.901,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE126,2010,0.813,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE126,2011,0.967,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE126,2012,0.555,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE127,2008,0.219,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE127,2009,0.749,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE127,2010,0.244,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE128,2008,5.459,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE128,2009,5.257,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE128,2010,6.492,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE128,2011,6.307,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE128,2012,7.033,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE129,2008,0.314,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE129,2009,0.551,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE129,2010,0.91,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE129,2011,0.516,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE129,2012,0.069,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12A,2008,0.899,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12A,2009,1.084,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12A,2010,0.347,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12A,2011,1.604,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12A,2012,0.145,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12B,2008,2.738,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12B,2009,3.395,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12B,2010,1.707,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12B,2011,1.484,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12B,2012,2.763,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12C,2008,1.504,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12C,2009,2.246,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12C,2010,0.978,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12C,2011,1.397,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE12C,2012,0.694,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE131,2008,3.109,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE131,2009,3.17,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE131,2010,2.727,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE131,2011,2.482,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE131,2012,3.19,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE132,2008,3.846,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE132,2009,2.603,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE132,2010,2.202,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE132,2011,2.164,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE132,2012,1.185,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE133,2008,4.015,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE133,2009,2.29,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE133,2010,1.447,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE133,2011,3.978,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE133,2012,4.149,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE134,2008,0.703,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE134,2009,0.51,
